year,serial,month,cpsid,asecflag,asecwth,statefip,hhincome,pernum,cpsidp,cpsidv,asecwt,age,sex,race,marst,vetstat,famsize,nchild,nchlt5,ftype,yrimmig,citizen,nativity,hispan,empstat,occ2010,ind,classwkr,educ,diffany,wkswork1,uhrsworkly,pension,firmsize,ftotval,inctot,incwage,incbus,incss,incretir,incint,incdivid,incrent,ctccrd,actccrd,adjginc,eitcred,fedtaxac,fica,filestat,depstat,margtax,taxinc,spmwt,spmfedtaxac,spmftotval,spmfamunit,eff_rate
2024,184,3,20240100364000,1,799.56,23,83000,1,20240100364001,202401003640011,799.56,51,1,100,1,1,6,4,0,1,0,1,1,0,10,6200,770,13,73,1,52,40,1,1,83000,53000,0,53000,0,,0,0,0,4565,435,79256,0,-435,7489,1,0,12,41705,799.56,-435.0,83000,222001,-0.5488543454123347
2024,187,3,20240100361400,1,1286.09,23,45930,1,20240100361401,202401003614011,1286.09,70,1,100,1,2,2,0,0,1,0,1,3,0,36,9999,0,0,73,2,0,999,0,0,45930,15122,0,0,13200,0,2,0,0,0,0,33515,0,432,0,2,0,10,4315,1286.09,432.0,45930,225001,1.2889750857824855
2024,191,3,20221202729600,1,1544.47,23,72100,1,20221202729601,202212027296011,1544.47,73,1,100,5,1,1,0,0,2,0,1,1,0,36,9999,0,0,91,2,0,999,0,0,72100,72100,0,0,0,0,100,0,0,0,0,72100,0,7716,0,5,0,22,56400,1544.47,7716.0,72100,230001,10.701803051317613
2024,208,3,20221202722900,1,1693.81,23,103846,1,20221202722901,202212027229011,1693.81,65,1,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,40,1,0,999,0,0,103846,33746,0,0,21324,12000,422,0,0,0,0,100647,0,8134,0,2,0,12,71447,1693.81,8134.0,103846,249001,8.081711327709717
2024,214,3,20240100361300,1,1368.09,23,112260,1,20240100361301,202401003613011,1368.09,69,2,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,73,1,0,999,0,0,112260,12005,0,0,12000,0,5,0,0,0,0,110460,0,9131,0,3,0,12,79760,1368.09,9131.0,112260,256001,8.266340756835053
2024,218,3,20230100360500,1,809.64,23,191486,1,20230100360501,202301003605011,809.64,55,1,100,4,1,3,1,0,1,4,3,5,0,10,6200,6080,21,81,1,52,45,3,9,85338,85338,83000,0,0,,2338,0,0,0,0,85338,0,10258,6350,5,0,22,67958,809.64,20136.0,191486,260001,12.020436382385338
2024,218,3,20230100360500,1,809.64,23,191486,3,20230100360502,202301003605021,809.64,37,2,100,4,1,3,1,0,5,0,1,1,0,10,8740,3960,21,73,1,52,45,3,7,106148,106148,105000,0,0,,1148,0,0,2000,0,106148,0,9878,8033,4,0,22,85348,809.64,20136.0,191486,260001,9.305874816294232
2024,219,3,20230300358000,1,1515.96,23,37226,1,20230300358001,202303003580012,1515.96,80,1,100,5,1,2,1,0,1,0,1,1,0,36,9999,0,0,73,2,24,60,1,1,37226,25626,0,0,15600,0,26,0,0,0,0,9320,0,0,1413,4,0,0,0,1515.96,0.0,37226,261001,0.0
2024,220,3,20230300360800,1,2732.97,23,30001,1,20230300360801,202303003608011,2732.97,43,2,100,4,1,1,0,0,2,0,1,1,0,10,4110,8680,21,73,1,52,30,1,2,30001,30001,30000,0,0,,1,0,0,0,0,30001,0,1718,2295,5,0,12,16151,2732.97,1718.0,30001,262001,5.726475784140528
2024,226,3,20240100363900,1,1654.14,23,392971,1,20240100363901,202401003639011,1654.14,52,1,100,3,1,1,0,0,2,0,1,1,0,10,3060,7970,21,125,1,52,40,3,9,392971,392971,360000,0,0,,22971,0,10000,0,0,392971,0,104587,16593,5,0,35,379121,1654.14,104587.0,392971,268001,26.614432108221724
