inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
59061,0.5926076429454293,0.0,0.0010328304634191767,0.0,0.0,0.0,0.0,49,2,0,4,1,1,23,3.427179283631934,1750.48
63020,0.9838146620120597,0.0,0.016185337987940335,0.0,0.0,0.0,0.0,33,0,0,1,5,6,23,9.719136781973976,2042.66
301615,0.6349153722460753,0.0,0.0003812807718449016,0.0,0.0,0.0,0.0,38,0,0,2,1,1,23,14.43452954554215,1518.07
20060,0.0,0.9970089730807578,0.0029910269192422734,0.0,0.0,0.0,0.0,47,1,0,3,1,1,23,-1.6442929997484392,893.57
83900,0.0,0.0,0.20381406436233612,0.0,0.16686531585220502,0.6293206197854588,0.0,69,0,0,2,2,1,23,7.266340657070046,1495.73
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,2,1,1,23,2.0470114170584286,2077.42
21520,0.3503717472118959,0.0,4.646840148698885e-05,0.0,0.0,0.6495817843866171,0.0,73,2,0,4,2,1,23,6.047128484734818,761.65
20010,0.9995002498750625,0.0,0.0004997501249375312,0.0,0.0,0.0,0.0,29,0,0,4,5,6,23,3.078460769615192,1032.52
38186,0.9951291049075578,0.0,0.004870895092442256,0.0,0.0,0.0,0.0,43,2,0,4,1,1,23,3.1974239194521297,1032.06
30011,0.9996334677284996,0.0,0.0003665322715004498,0.0,0.0,0.0,0.0,33,2,0,3,4,6,23,-26.333677651527772,1941.26
51001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64,0,0,2,1,1,23,14.55803309583562,1517.73
17020,0.0,0.0,0.00023501762632197415,0.0,0.0,0.4886016451233843,0.0,70,0,0,2,2,1,23,5.510126853024894,1926.43
229600,0.5662020905923345,0.0,0.4011324041811847,0.03048780487804878,0.0,0.0,0.0021777003484320556,57,0,0,2,1,1,23,18.03223070398643,1751.01
151100,0.9927200529450695,0.0,0.00727994705493051,0.0,0.0,0.0,0.0,54,0,0,2,5,4,23,15.284579748510922,1554.76
78408,0.9642893582287522,0.0,0.03571064177124783,0.0,0.0,0.0,0.0,56,0,0,2,5,4,23,12.128864401591674,1554.76
65001,0.9999846156212981,0.0,1.5384378701866124e-05,0.0,0.0,0.0,0.0,47,1,0,2,4,4,23,4.599929231857971,890.58
52500,0.9904761904761905,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,23,0,0,1,5,6,23,8.415238095238095,2067.09
60773,0.9543711845720961,0.0,0.006137593997334343,0.0,0.0,0.0,0.0,67,0,0,2,3,1,23,8.505499720353201,1706.84
20064,0.016945773524720893,0.0,0.0,0.0,0.0,0.7326056618819776,0.0,64,0,0,2,5,4,23,-7.647058823529412,1307.4
30918,0.5821851348728896,0.0,0.00019406171162429653,0.0,0.0,0.41762080341548613,0.0,64,0,0,2,5,4,23,2.310340997445296,1307.4
43762,0.0,0.9140350075407888,0.009186051825784927,0.0,0.0,0.07677894063342626,0.0,56,0,0,2,5,4,23,5.767708745548081,1751.01
57205,0.9789354077440783,0.0,0.021064592255921687,0.0,0.0,0.0,0.0,55,0,0,2,5,4,23,8.710777029979896,1751.01
28588,0.8605009094725059,0.0,0.04855183993283895,0.0909472505946551,0.0,0.0,0.0,52,1,0,3,1,1,23,5.653271530852956,1783.32
10278,0.0,0.9729519361743529,0.016637478108581436,0.010410585717065577,0.0,0.0,0.0,27,0,0,3,5,6,23,-6.268282490597576,2169.26
32680,0.9510403916768666,0.0,0.0030599755201958386,0.0,0.0,0.0,0.0,37,1,0,3,1,1,23,4.03946530872056,1369.78
